本地完整归档相对路径,文件名,类别,大小_MB,GitHub状态
03_视频目录/shard01_原始视频_472/ovb0051_consisid_official_vbench_v1_0.mp4,ovb0051_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.648,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0053_consisid_official_vbench_v1_0.mp4,ovb0053_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.245,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0055_consisid_official_vbench_v1_0.mp4,ovb0055_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.421,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0057_consisid_official_vbench_v1_0.mp4,ovb0057_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.411,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0059_consisid_official_vbench_v1_0.mp4,ovb0059_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.362,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0061_consisid_official_vbench_v1_0.mp4,ovb0061_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.367,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0063_consisid_official_vbench_v1_0.mp4,ovb0063_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.353,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0065_consisid_official_vbench_v1_0.mp4,ovb0065_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.294,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0067_consisid_official_vbench_v1_0.mp4,ovb0067_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.384,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0069_consisid_official_vbench_v1_0.mp4,ovb0069_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.733,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0071_consisid_official_vbench_v1_0.mp4,ovb0071_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.364,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0073_consisid_official_vbench_v1_0.mp4,ovb0073_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.450,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0075_consisid_official_vbench_v1_0.mp4,ovb0075_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.702,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0077_consisid_official_vbench_v1_0.mp4,ovb0077_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.378,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0079_consisid_official_vbench_v1_0.mp4,ovb0079_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.497,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0081_consisid_official_vbench_v1_0.mp4,ovb0081_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.659,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0083_consisid_official_vbench_v1_0.mp4,ovb0083_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.539,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0085_consisid_official_vbench_v1_0.mp4,ovb0085_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.480,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0087_consisid_official_vbench_v1_0.mp4,ovb0087_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.344,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0089_consisid_official_vbench_v1_0.mp4,ovb0089_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.318,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0091_consisid_official_vbench_v1_0.mp4,ovb0091_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.273,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0093_consisid_official_vbench_v1_0.mp4,ovb0093_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.414,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0095_consisid_official_vbench_v1_0.mp4,ovb0095_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.366,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0097_consisid_official_vbench_v1_0.mp4,ovb0097_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.326,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0099_consisid_official_vbench_v1_0.mp4,ovb0099_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.201,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0101_consisid_official_vbench_v1_0.mp4,ovb0101_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.327,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0103_consisid_official_vbench_v1_0.mp4,ovb0103_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.250,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0105_consisid_official_vbench_v1_0.mp4,ovb0105_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.802,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0107_consisid_official_vbench_v1_0.mp4,ovb0107_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.372,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0109_consisid_official_vbench_v1_0.mp4,ovb0109_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.338,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0111_consisid_official_vbench_v1_0.mp4,ovb0111_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.322,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0113_consisid_official_vbench_v1_0.mp4,ovb0113_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.268,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0115_consisid_official_vbench_v1_0.mp4,ovb0115_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.354,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0117_consisid_official_vbench_v1_0.mp4,ovb0117_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.507,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0119_consisid_official_vbench_v1_0.mp4,ovb0119_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.446,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0121_consisid_official_vbench_v1_0.mp4,ovb0121_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.527,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0123_consisid_official_vbench_v1_0.mp4,ovb0123_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.347,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0125_consisid_official_vbench_v1_0.mp4,ovb0125_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.210,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0127_consisid_official_vbench_v1_0.mp4,ovb0127_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.359,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0129_consisid_official_vbench_v1_0.mp4,ovb0129_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.337,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0131_consisid_official_vbench_v1_0.mp4,ovb0131_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.166,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0133_consisid_official_vbench_v1_0.mp4,ovb0133_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.274,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0135_consisid_official_vbench_v1_0.mp4,ovb0135_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.197,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0137_consisid_official_vbench_v1_0.mp4,ovb0137_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.140,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0139_consisid_official_vbench_v1_0.mp4,ovb0139_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.368,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0141_consisid_official_vbench_v1_0.mp4,ovb0141_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.394,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0143_consisid_official_vbench_v1_0.mp4,ovb0143_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.351,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0145_consisid_official_vbench_v1_0.mp4,ovb0145_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.408,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0147_consisid_official_vbench_v1_0.mp4,ovb0147_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.385,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0149_consisid_official_vbench_v1_0.mp4,ovb0149_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.325,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0151_consisid_official_vbench_v1_0.mp4,ovb0151_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.468,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0153_consisid_official_vbench_v1_0.mp4,ovb0153_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.526,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0155_consisid_official_vbench_v1_0.mp4,ovb0155_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.387,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0157_consisid_official_vbench_v1_0.mp4,ovb0157_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.439,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0159_consisid_official_vbench_v1_0.mp4,ovb0159_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.907,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0161_consisid_official_vbench_v1_0.mp4,ovb0161_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.264,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0163_consisid_official_vbench_v1_0.mp4,ovb0163_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.301,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0165_consisid_official_vbench_v1_0.mp4,ovb0165_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.388,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0167_consisid_official_vbench_v1_0.mp4,ovb0167_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.220,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0169_consisid_official_vbench_v1_0.mp4,ovb0169_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.461,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0171_consisid_official_vbench_v1_0.mp4,ovb0171_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.586,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0173_consisid_official_vbench_v1_0.mp4,ovb0173_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.552,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0175_consisid_official_vbench_v1_0.mp4,ovb0175_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.653,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0177_consisid_official_vbench_v1_0.mp4,ovb0177_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.483,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0179_consisid_official_vbench_v1_0.mp4,ovb0179_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.633,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0181_consisid_official_vbench_v1_0.mp4,ovb0181_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.666,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0183_consisid_official_vbench_v1_0.mp4,ovb0183_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.562,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0185_consisid_official_vbench_v1_0.mp4,ovb0185_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.448,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0187_consisid_official_vbench_v1_0.mp4,ovb0187_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.300,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0189_consisid_official_vbench_v1_0.mp4,ovb0189_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.383,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0191_consisid_official_vbench_v1_0.mp4,ovb0191_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.312,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0193_consisid_official_vbench_v1_0.mp4,ovb0193_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.908,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0195_consisid_official_vbench_v1_0.mp4,ovb0195_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.488,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0197_consisid_official_vbench_v1_0.mp4,ovb0197_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.337,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0199_consisid_official_vbench_v1_0.mp4,ovb0199_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.245,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0201_consisid_official_vbench_v1_0.mp4,ovb0201_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.369,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0203_consisid_official_vbench_v1_0.mp4,ovb0203_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.445,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0205_consisid_official_vbench_v1_0.mp4,ovb0205_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,1.033,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0207_consisid_official_vbench_v1_0.mp4,ovb0207_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.366,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0209_consisid_official_vbench_v1_0.mp4,ovb0209_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.798,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0211_consisid_official_vbench_v1_0.mp4,ovb0211_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.292,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0213_consisid_official_vbench_v1_0.mp4,ovb0213_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.346,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0215_consisid_official_vbench_v1_0.mp4,ovb0215_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.433,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0217_consisid_official_vbench_v1_0.mp4,ovb0217_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.302,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0219_consisid_official_vbench_v1_0.mp4,ovb0219_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.367,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0221_consisid_official_vbench_v1_0.mp4,ovb0221_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.312,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0223_consisid_official_vbench_v1_0.mp4,ovb0223_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.380,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0225_consisid_official_vbench_v1_0.mp4,ovb0225_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.301,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0227_consisid_official_vbench_v1_0.mp4,ovb0227_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.342,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0229_consisid_official_vbench_v1_0.mp4,ovb0229_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.288,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0231_consisid_official_vbench_v1_0.mp4,ovb0231_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.173,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0233_consisid_official_vbench_v1_0.mp4,ovb0233_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.388,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0235_consisid_official_vbench_v1_0.mp4,ovb0235_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.461,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0237_consisid_official_vbench_v1_0.mp4,ovb0237_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.427,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0239_consisid_official_vbench_v1_0.mp4,ovb0239_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.253,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0241_consisid_official_vbench_v1_0.mp4,ovb0241_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.146,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0243_consisid_official_vbench_v1_0.mp4,ovb0243_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.275,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0245_consisid_official_vbench_v1_0.mp4,ovb0245_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.505,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0247_consisid_official_vbench_v1_0.mp4,ovb0247_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.212,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0249_consisid_official_vbench_v1_0.mp4,ovb0249_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.489,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0251_consisid_official_vbench_v1_0.mp4,ovb0251_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.406,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0253_consisid_official_vbench_v1_0.mp4,ovb0253_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.337,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0255_consisid_official_vbench_v1_0.mp4,ovb0255_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.393,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0257_consisid_official_vbench_v1_0.mp4,ovb0257_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.466,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0259_consisid_official_vbench_v1_0.mp4,ovb0259_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.291,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0261_consisid_official_vbench_v1_0.mp4,ovb0261_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.488,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0263_consisid_official_vbench_v1_0.mp4,ovb0263_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.257,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0265_consisid_official_vbench_v1_0.mp4,ovb0265_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.535,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0267_consisid_official_vbench_v1_0.mp4,ovb0267_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.446,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0269_consisid_official_vbench_v1_0.mp4,ovb0269_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.366,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0271_consisid_official_vbench_v1_0.mp4,ovb0271_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.246,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0273_consisid_official_vbench_v1_0.mp4,ovb0273_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.518,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0275_consisid_official_vbench_v1_0.mp4,ovb0275_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.539,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0277_consisid_official_vbench_v1_0.mp4,ovb0277_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.564,未上传，仅在本地完整归档中保留
